"rank","code","name","value","share","cum_share"
188,"GUF","French Guiana",0.58626018667196,1.13075601496954e-05,0.999915982099186
189,"WSM","Samoa",0.52164779979124,1.00613413757128e-05,0.999926043440561
190,"LCA","Saint Lucia",0.46852097267718,9.03665164440956e-06,0.999935080092206
191,"ATG","Antigua and Barbuda",0.42685099843391,8.23293726826059e-06,0.999943313029474
192,"CYM","Cayman Islands",0.40593654355496,7.82954733676223e-06,0.999951142576811
193,"BMU","Bermuda",0.30567723229762,5.89578444720794e-06,0.999957038361258
194,"TON","Tonga",0.29290421642737,5.64942344823619e-06,0.999962687784706
195,"STP","São Tomé and Príncipe",0.24546513171181,4.73443669651286e-06,0.999967422221403
196,"GRD","Grenada",0.24099091876012,4.6481398044094e-06,0.999972070361207
197,"TCA","Turks and Caicos Islands",0.23784845807724,4.58752923593223e-06,0.999976657890443
198,"KNA","Saint Kitts and Nevis",0.18549174311608,3.5776931305256e-06,0.999980235583574
199,"VCT","Saint Vincent and the Grenadines",0.18523612141905,3.57276279791826e-06,0.999983808346371
200,"FLK","Falkland Islands",0.17289495721293,3.33473118712417e-06,0.999987143077559
201,"DMA","Dominica",0.15235689674337,2.9386010056838e-06,0.999990081678564
202,"KIR","Kiribati",0.11518831348837,2.22170772111552e-06,0.999992303386285
203,"COK","Cook Islands",0.11208129613633,2.16178076992038e-06,0.999994465167055
204,"VGB","British Virgin Islands",0.10829512682119,2.08875459785349e-06,0.999996553921653
205,"FRO","Faroes",0.096616747976757,1.86350653524158e-06,0.999998417428188
206,"SPM","Saint Pierre and Miquelon",0.035007766695614,6.75216288972831e-07,0.999999092644477
207,"AIA","Anguilla",0.026035166405695,5.0215623853109e-07,0.999999594800716
208,"SHN","Saint Helena, Ascension and Tristan da Cunha",0.021008263917755,4.05199284023038e-07,1
