"rank","code","name","value","share","cum_share"
191,"Guinea-Bissau","Guinea-Bissau",8.28532358350746,4.60759399848229e-06,0.999943227688725
192,"Saint Kitts and Nevis","Saint Kitts and Nevis",8.0348183666593,4.46828425130045e-06,0.999947695972976
193,"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",7.96663404008914,4.43036591404678e-06,0.99995212633889
194,"Samoa","Samoa",7.76959150443457,4.32078757403663e-06,0.999956447126464
195,"Turks and Caicos Islands","Turks and Caicos Islands",7.60550740241447,4.22953791841435e-06,0.999960676664382
196,"Comoros","Comoros",7.51349956950694,4.1783709682711e-06,0.999964855035351
197,"Palau","Palau",6.96895151844303,3.87553954513129e-06,0.999968730574896
198,"British Virgin Islands","British Virgin Islands",6.26117300266186,3.48193318700914e-06,0.999972212508083
199,"Vanuatu","Vanuatu",5.54693760888832,3.08473606118953e-06,0.999975297244144
200,"Dominica","Dominica",5.49429744737912,3.0554620696786e-06,0.999978352706214
201,"Nauru","Nauru",5.07418318117952,2.82183015993988e-06,0.999981174536374
202,"Tonga","Tonga",4.92237565574731,2.73740769459426e-06,0.999983911944068
203,"Micronesia (Federated States of)","Micronesia (Federated States of)",4.85816739509912,2.70170050785209e-06,0.999986613644576
204,"Sao Tome and Principe","Sao Tome and Principe",4.01523279758463,2.23293180455702e-06,0.999988846576381
205,"Marshall Islands","Marshall Islands",4.00836961416349,2.22911508425358e-06,0.999991075691465
206,"Saint Pierre and Miquelon","Saint Pierre and Miquelon",3.89559601571512,2.16639997721392e-06,0.999993242091442
207,"Anguilla","Anguilla",3.58829234073758,1.9955037467569e-06,0.999995237595189
208,"Cook Islands","Cook Islands",2.68482401926734,1.49307132225732e-06,0.999996730666511
209,"Kiribati","Kiribati",2.32915163647997,1.29527652042012e-06,0.999998025943032
210,"Montserrat","Montserrat",1.67899154833752,9.33712643042899e-07,0.999998959655675
211,"Wallis and Futuna Islands","Wallis and Futuna Islands",0.865761531149462,4.81463107003044e-07,0.999999441118782
212,"Saint Helena","Saint Helena",0.421736949287506,2.34534308393629e-07,0.99999967565309
213,"Tuvalu","Tuvalu",0.297180574181048,1.65266620701186e-07,0.999999840919711
214,"Niue","Niue",0.286056382787366,1.59080289293982e-07,1
